% 'Music' dataset; normalised version.
@relation 'Music: -C 6'

@attribute amazed-suprised {0,1}
@attribute happy-pleased {0,1}
@attribute relaxing-clam {0,1}
@attribute quiet-still {0,1}
@attribute sad-lonely {0,1}
@attribute angry-aggresive {0,1}
@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric

@data

0,1,1,0,0,0,0.132498,0.077848,0.229227,0.602629,0.512861,0.467404,0.529733,0.573498,0.592831,0.520031,0.598853,0.537699,0.780658,0.462982,0.407108,0.684364,0.135824,0.245631,0.157515,0.301285,0.350107,0.459476,0.583274,0.430053,0.416198,0.581916,0.342758,0.309345,0.388929,0.323521,0.455207,0.26139,0.027559,0.149077,0.195433,0.571354,0.326404,0.246745,0.524645,0.354798,0.240244,0.239788,0.128689,0.173252,0.204863,0.131632,0.245653,0.144607,0.258203,0.470051,0.259909,0.61364,0.458314,0.434716,0.448941,0.370609,0.285647,0.663082,0.29708,0.273671,0.286411,0.197026,0.196244,0.164323,0.030017,0.253968,0.008473,0.240602,0.136735,0.058442,0.107594
1,0,0,0,0,1,0.384281,0.355249,0.16719,0.853089,0.260577,0.332757,0.15393,0.519381,0.268043,0.251955,0.459922,0.430814,0.654323,0.641021,0.356511,0.647367,0.367659,0.539078,0.100569,0.133502,0.337194,0.319752,0.349012,0.171182,0.191357,0.390569,0.289253,0.208641,0.341328,0.265669,0.273736,0.181791,0.028513,0.252827,0.25819,0.011351,0.236247,0.069285,0.192754,0.154258,0.128671,0.116726,0.059704,0.073697,0.080341,0.062701,0.075672,0.041256,0.207782,0.300735,0.888274,0.444,0.294673,0.210429,0.132036,0.167474,0.205996,0.155514,0.086631,0.071462,0.067492,0.093526,0.085649,0.025101,0.182955,0.285714,0.156764,0.270677,0.191377,0.153728,0.197951
0,1,0,0,0,1,0.541782,0.356491,0.152246,0.791142,0.228276,0.471278,0.378166,0.559905,0.279949,0.55583,0.521424,0.477018,0.541562,0.383692,0.301562,0.209283,0.46956,0.435643,0.117424,0.233075,0.214409,0.270485,0.448359,0.446847,0.272785,0.62605,0.457692,0.257535,0.486894,0.433737,0.42917,0.250437,0.173474,0.240775,0.16608,0.134165,0.149816,0.312213,0.351309,0.550984,0.24148,0.351404,0.324881,0.102732,0.214608,0.182897,0.131488,0.092507,0.539964,0.291858,0.894329,0.316151,0.345686,0.218272,0.254165,0.392987,0.24341,0.529933,0.27259,0.153845,0.314687,0.198082,0.108067,0.140574,0.099303,0.142857,0,0.593985,0.105114,0.025555,0.122965
0,0,1,0,0,0,0.174288,0.243935,0.254326,0.438987,0.480346,0.472862,0.473128,0.777076,0.376471,0.650178,0.518224,0.374862,0.717025,0.54805,0.385528,0.545977,0.266415,0.581436,0.213768,0.371697,0.267091,0.518605,0.521327,0.375596,0.516414,0.768118,0.668286,0.48251,0.515023,0.425579,0.448576,0.305121,0.095215,0.406613,0.200305,0.234013,0.173066,0.391382,0.352153,0.333506,0.491522,0.243034,0.189499,0.161029,0.185126,0.252305,0.203846,0.112363,0.440058,0.608967,0.854473,0.47891,0.378549,0.407442,0.393774,0.28408,0.622807,0.461229,0.444935,0.355792,0.298915,0.235793,0.220195,0.235834,0.024988,0.222222,0.117169,0.210526,0.057288,0.134575,0.091509
0,0,0,1,0,0,0.347436,0.155448,0.100047,0.126026,0.45695,0.539992,0.301537,0.598898,0.36199,0.484839,0.646532,0.520983,0.887006,0.55065,0.373552,0.373699,0.178554,0.150008,0.045284,0.227232,0.18327,0.309233,0.188338,0.302628,0.275626,0.39999,0.478468,0.478095,0.644428,0.705417,0.737404,0.418726,0.340997,0.548333,0.273571,0.535455,0.514268,0.43888,0.367572,0.526058,0.485215,0.456886,0.424624,0.335312,0.485055,0.385908,0.523032,0.340229,0.503828,0.422766,0.918634,0.686384,0.474845,0.366783,0.218394,0.370754,0.481513,0.54268,0.695774,0.783841,0.827826,0.715683,0.573359,0.412368,0.016398,0.761905,0.081703,0.721805,0.108737,0.172882,0.189934
0,1,1,0,0,0,0.228026,0.109648,0.291862,0.684646,0.544746,0.571375,0.697535,0.484926,0.392855,0.156092,0.47165,0.115674,0.456398,0.268197,0.373789,0.350682,0.335532,0.363227,0.233747,0.275718,0.353079,0.446552,0.443244,0.40885,0.506339,0.567963,0.520552,0.314016,0.400658,0.317602,0.429856,0.266929,0.066131,0.14416,0.129917,0.221325,0.214393,0.334304,0.34572,0.351928,0.381297,0.445787,0.347102,0.249739,0.361601,0.248958,0.233641,0.172891,0.520372,0.348735,0.818843,0.601903,0.359844,0.5236,0.457277,0.314221,0.409973,0.339989,0.347784,0.240174,0.445214,0.141451,0.177711,0.104971,0.1351,0.190476,0.030557,0.180451,0.224878,0.136787,0.179813
1,1,0,0,0,0,0.290836,0.165289,0.08124,0.710225,0.332875,0.553721,0.535008,0.493221,0.429454,0.573115,0.376511,0.421671,0.33932,0.667374,0.531376,0.359131,0.184783,0.227313,0.050323,0.157977,0.121726,0.335899,0.161888,0.223291,0.173682,0.250552,0.280799,0.14616,0.240121,0.25059,0.392957,0.250815,0.086999,0.159678,0.13837,0.13039,0.088702,0.244132,0.184728,0.223147,0.14272,0.155659,0.105153,0.072708,0.112107,0.136645,0.18976,0.082971,0.281376,0.211844,0.919767,0.403809,0.197824,0.234787,0.216919,0.177096,0.214987,0.282145,0.113921,0.121426,0.121325,0.129027,0.141215,0.213387,0.103267,0.126984,0.203222,0.120301,0.420933,0.237673,0.337537
0,0,0,0,0,1,0.187613,0.081515,0.304717,0.717048,0.374497,0.513272,0.450436,0.775525,0.580572,0.68887,0.650924,0.261941,0.565849,0.67063,0.481361,0.651704,0.188326,0.247096,0.201391,0.307273,0.326252,0.454876,0.625292,0.682752,0.589456,1,0.595022,0.429585,0.453096,0.334753,0.578032,0.262885,0.101682,0.110955,0.212575,0.095188,0.146704,0.128869,0.254222,0.360815,0.224237,0.20875,0.130517,0.113968,0.122499,0.064759,0.136119,0.069751,0.493197,0.310749,0.843018,0.38899,0.288377,0.317931,0.376866,0.591947,0.28368,0.42341,0.41867,0.194071,0.294834,0.136965,0.110777,0.104363,0.021772,0.015873,0.033895,0.015038,0.132063,0.048698,0.085231
1,1,0,0,0,0,0.384173,0.39966,0.297172,0.534706,0.196999,0.586783,0.458346,0.654032,0.50683,0.684306,0.670198,0.533105,0.837555,0.640836,0.446854,0.581114,0.497501,0.683232,0.227333,0.356448,0.315684,0.457349,0.36233,0.380779,0.478171,0.4235,0.259095,0.240067,0.376902,0.32364,0.378493,0.248244,0.073159,0.160427,0.196431,0.111981,0.076993,0.157529,0.241754,0.143545,0.177264,0.052576,0.041879,0.04831,0.087681,0.080024,0.115514,0.062976,0.205835,0.086486,0.839359,0.436338,0.125652,0.20377,0.262428,0.221062,0.324308,0.173767,0.161386,0.0943,0.206844,0.069663,0.099462,0.187613,0.487483,0.222222,0.655785,0.210526,0.630079,0.669823,0.678337
